sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0154,182010,福井県,福井市,municipality,B,chubu,https://www.city.fukui.lg.jp/,https://www.city.fukui.lg.jp/,https://www.city.fukui.lg.jp/dept/kodomo/kodomo/index.html,https://www.city.fukui.lg.jp/fukusi/kosodate/jidofukusi/index2.html,https://www.city.fukui.lg.jp/kurasi/index.html,https://www.city.fukui.lg.jp/sisei/kohou/kohousi/index.html,core_city,中核市・県庁所在地; ReadSpeaker+Splide; article=広報紙index
S0155,192015,山梨県,甲府市,municipality,B,chubu,https://www.city.kofu.yamanashi.jp/,https://www.city.kofu.yamanashi.jp/,https://www.city.kofu.yamanashi.jp/shise/gaiyo/soshiki/index.html,https://www.city.kofu.yamanashi.jp/jidoikuse/kenko/kosodate/teate/jidou3.html,https://www.city.kofu.yamanashi.jp/kurashi/index.html,https://www.city.kofu.yamanashi.jp/shise/koho/kohoshi/index.html,core_city,中核市・県庁所在地; ReadSpeaker; contact=組織案内; article=広報誌
S0156,202011,長野県,長野市,municipality,B,chubu,https://www.city.nagano.nagano.jp/,https://www.city.nagano.nagano.jp/,https://www.city.nagano.nagano.jp/aboutwebsite.html,https://www.city.nagano.nagano.jp/n116000/kosodate/p001467.html,https://www.city.nagano.nagano.jp/menu/2/index.html,https://www.city.nagano.nagano.jp/menu/8/6/3/index.html,core_city,中核市・県庁所在地; 4SNS; contact=WebA11y方針; hub=くらし・手続き
S0157,212016,岐阜県,岐阜市,municipality,B,chubu,https://www.city.gifu.lg.jp/,https://www.city.gifu.lg.jp/,https://www.city.gifu.lg.jp/info/soshiki/index.html,https://www.city.gifu.lg.jp/kosodate/ninshin/1003571/1003572.html,https://www.city.gifu.lg.jp/kurashi/index.html,https://www.city.gifu.lg.jp/info/kouhou/index.html,core_city,中核市・県庁所在地; KanaboWeb系; 5SNS
S0158,202029,長野県,松本市,municipality,B,chubu,https://www.city.matsumoto.nagano.jp/,https://www.city.matsumoto.nagano.jp/,https://www.city.matsumoto.nagano.jp/soshiki/index.html,https://www.city.matsumoto.nagano.jp/site/kosodate/141661.html,https://www.city.matsumoto.nagano.jp/life/index.html,https://www.city.matsumoto.nagano.jp/site/kouhoumatsumoto/,core_city,中核市; 火山警戒; 5SNS; article=広報まつもと
S0159,232017,愛知県,豊橋市,municipality,B,chubu,https://www.city.toyohashi.lg.jp/,https://www.city.toyohashi.lg.jp/,https://www.city.toyohashi.lg.jp/1106.htm,https://www.city.toyohashi.lg.jp/45630.htm,https://www.city.toyohashi.lg.jp/kurashi/,https://www.city.toyohashi.lg.jp/2630.htm,core_city,中核市; ASP.NET; HP番号検索; contact=各課連絡先; hub=/kurashi/
S0160,232025,愛知県,岡崎市,municipality,B,chubu,https://www.city.okazaki.lg.jp/,https://www.city.okazaki.lg.jp/,https://www.city.okazaki.lg.jp/1100/1103/index.html,https://www.city.okazaki.lg.jp/1100/1104/1131/p011147.html,https://www.city.okazaki.lg.jp/1100/1101/1115/index.html,https://www.city.okazaki.lg.jp/shiseidayori/index.html,core_city,中核市; 4SNS; hub=窓口・各種サービス; article=市政だよりおかざき
