sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0161,232114,愛知県,豊田市,municipality,B,chubu,https://www.city.toyota.aichi.jp/,https://www.city.toyota.aichi.jp/,https://www.city.toyota.aichi.jp/shisei/soshiki/index.html,https://www.city.toyota.aichi.jp/kurashi/kosodateshien/teate/1003328/1003329.html,https://www.city.toyota.aichi.jp/kurashi/,https://www.city.toyota.aichi.jp/shisei/koho/kohotoyota/index.html,core_city,中核市; KanaboVoice; 5SNS; SDGsタグライン
S0163,152226,新潟県,上越市,municipality,C,chubu,https://www.city.joetsu.niigata.jp/,https://www.city.joetsu.niigata.jp/,https://www.city.joetsu.niigata.jp/soshiki/,https://www.city.joetsu.niigata.jp/soshiki/kodomo/kodomo23-10.html,https://www.city.joetsu.niigata.jp/life/7/76/85/,https://www.city.joetsu.niigata.jp/life/5/83/227/,regional_balance,人口約18万; emergency=雪害+はしか; LINE+X+YouTube
S0164,162027,富山県,高岡市,municipality,C,chubu,https://www.city.takaoka.toyama.jp/,https://www.city.takaoka.toyama.jp/,https://www.city.takaoka.toyama.jp/soshiki/index.html,https://www.city.takaoka.toyama.jp/soshiki/kodomo_kosodateka/2/4/1/2/1/5149.html,https://www.city.takaoka.toyama.jp/gyosei/kosodate_kyoiku/kosodateshienjoho/2/index.html,https://www.city.takaoka.toyama.jp/soshiki/kohohasshinka/2/7/3/1/index.html,regional_balance,人口約16万; SMART CMS; emergency=能登半島地震
S0165,172031,石川県,小松市,municipality,C,chubu,https://www.city.komatsu.lg.jp/,https://www.city.komatsu.lg.jp/,https://www.city.komatsu.lg.jp/soshiki/837.html,https://www.city.komatsu.lg.jp/soshiki/1029/kakushuteate/16993.html,https://www.city.komatsu.lg.jp/kurasi_tetuzuki/index.html,https://www.city.komatsu.lg.jp/shiseijoho/koho_kocho/1/index.html,regional_balance,人口約10万; SMART CMS; J-ALERT; 5SNS; もしもしセンター
S0166,172103,石川県,白山市,municipality,C,chubu,https://www.city.hakusan.lg.jp/,https://www.city.hakusan.lg.jp/,https://www.city.hakusan.lg.jp/shisei/soshiki/index.html,https://www.city.hakusan.lg.jp/kosodate/1001577/1001582.html,https://www.city.hakusan.lg.jp/kurashi/index.html,https://www.city.hakusan.lg.jp/shisei/kohokocho/koho/index.html,regional_balance,人口約11万; 8cat global nav; Facebook+YouTube+LINE; roster URL修正(hakusan.ishikawa.jp→hakusan.lg.jp)
S0167,182028,福井県,敦賀市,municipality,C,chubu,https://www.city.tsuruga.lg.jp/,https://www.city.tsuruga.lg.jp/,https://www.city.tsuruga.lg.jp/about_city/index.html,https://www.city.tsuruga.lg.jp/kosodate/kosodate/shien_teate/teate_josei/index.html,https://www.city.tsuruga.lg.jp/kurashi/index.html,https://www.city.tsuruga.lg.jp/about_city/koho/backnumber/index.html,regional_balance,人口約6万; emergency=能登半島地震+インフルエンザ; GTM; いつどこナビ
S0168,192023,山梨県,富士吉田市,municipality,D,chubu,https://www.city.fujiyoshida.yamanashi.jp/,https://www.city.fujiyoshida.yamanashi.jp/,https://www.city.fujiyoshida.yamanashi.jp/soshiki/,https://www.city.fujiyoshida.yamanashi.jp/site/kosodate/1580.html,https://www.city.fujiyoshida.yamanashi.jp/life/1/,https://www.city.fujiyoshida.yamanashi.jp/life/6/28/128/,regional_balance,人口約4万; Slick carousel; Google CSE; Microsoft Clarity
