sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0040,400009,福岡県,福岡県,prefecture,unknown,kyushu_okinawa,https://www.pref.fukuoka.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0041,410004,佐賀県,佐賀県,prefecture,unknown,kyushu_okinawa,https://www.pref.saga.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0042,420000,長崎県,長崎県,prefecture,unknown,kyushu_okinawa,https://www.pref.nagasaki.jp/,,,,,,prefecture_site,総務省コード一覧より
S0043,430005,熊本県,熊本県,prefecture,unknown,kyushu_okinawa,https://www.pref.kumamoto.jp/,,,,,,prefecture_site,総務省コード一覧より
S0044,440001,大分県,大分県,prefecture,unknown,kyushu_okinawa,https://www.pref.oita.jp/,,,,,,prefecture_site,総務省コード一覧より
S0045,450006,宮崎県,宮崎県,prefecture,unknown,kyushu_okinawa,https://www.pref.miyazaki.lg.jp/,,,,,,prefecture_site,総務省コード一覧より
S0046,460001,鹿児島県,鹿児島県,prefecture,unknown,kyushu_okinawa,https://www.pref.kagoshima.jp/,,,,,,prefecture_site,総務省コード一覧より
