sample_id,municipality_code,prefecture,municipality_name,layer,population_category,region_block,official_site_url,top_page_url,contact_page_url,service_page_url,hub_page_url,article_page_url,selection_reason,notes
S0212,272159,大阪府,寝屋川市,municipality,C,kinki,https://www.city.neyagawa.osaka.jp,https://www.city.neyagawa.osaka.jp/,https://www.city.neyagawa.osaka.jp/soshiki/,https://www.city.neyagawa.osaka.jp/organization_list/kodomo/kodomowomamoruka/kodomotantou/jidouteate/1455857318397.html,https://www.city.neyagawa.osaka.jp/kurashi/,https://www.city.neyagawa.osaka.jp/shisei/koho/,regional_balance,SMART CMS; 7cat; GTM(GTM-5W9QDP7); SNS=FB+X+IG+YT+LINE+app
S0213,282031,兵庫県,明石市,municipality,B,kinki,https://www.city.akashi.lg.jp,https://www.city.akashi.lg.jp/,https://www.city.akashi.lg.jp/soshiki/,https://www.city.akashi.lg.jp/kodomo/jidou_fu_ka/kodomo-kyoiku/kosodate/teate.html,https://www.city.akashi.lg.jp/kurashi/,https://www.city.akashi.lg.jp/shisei/koho/,core_city,custom; 8cat; skip→#tmp_honbun; SNS=X+FB+IG+LINE+YT
S0214,282103,兵庫県,加古川市,municipality,C,kinki,https://www.city.kakogawa.lg.jp,https://www.city.kakogawa.lg.jp/,https://www.city.kakogawa.lg.jp/soshiki/,https://www.city.kakogawa.lg.jp/kosodatekyoiku/kosodatekyoiku/teateiryojosei/1418389844910.html,https://www.city.kakogawa.lg.jp/kurashi/,https://www.city.kakogawa.lg.jp/shisei/koho/,regional_balance,SMART CMS; 3cat; GTM(GTM-N9MXW6F); Jアラート
S0215,292052,奈良県,橿原市,municipality,C,kinki,https://www.city.kashihara.nara.jp,https://www.city.kashihara.nara.jp/,https://www.city.kashihara.nara.jp/soshiki/,https://www.city.kashihara.nara.jp/soshiki/1036/gyomu/4/1/95.html,https://www.city.kashihara.nara.jp/kurashi/,https://www.city.kashihara.nara.jp/shisei/koho/,regional_balance,SMART CMS; 6cat; GTM(GTM-5RLBM6Q); tsutaeruMO
S0216,292095,奈良県,生駒市,municipality,C,kinki,https://www.city.ikoma.lg.jp,https://www.city.ikoma.lg.jp/,https://www.city.ikoma.lg.jp/soshiki/,https://www.city.ikoma.lg.jp/0000000944.html,https://www.city.ikoma.lg.jp/kurashi/,https://www.city.ikoma.lg.jp/shisei/koho/,regional_balance,custom; 9cat; GA(GA-P8P6Y68K19); ReadSpeaker; 林野火災警報
S0217,302066,和歌山県,田辺市,municipality,C,kinki,https://www.city.tanabe.lg.jp,https://www.city.tanabe.lg.jp/,https://www.city.tanabe.lg.jp/soshiki/,https://www.city.tanabe.lg.jp/shimin/jidou_teate.html,https://www.city.tanabe.lg.jp/kurashi/,https://www.city.tanabe.lg.jp/kouhou/,regional_balance,custom; 9cat; GA(UA-10955397-1); Flexslider; 文字サイズ; FB
S0218,242098,三重県,尾鷲市,municipality,D,kinki,https://www.city.owase.lg.jp,https://www.city.owase.lg.jp/,https://www.city.owase.lg.jp/soshiki/,https://www.city.owase.lg.jp/owasewanpaku/0000004368.html,https://www.city.owase.lg.jp/kurashi/,https://www.city.owase.lg.jp/shisei/koho/,rural_representative,custom(cmsfiles); 8cat; GA(UA-52496755-1)+G-N21N4CLJS5; Google_Translate; 反転+文字サイズ; SNS=FB+IG+LINE+X+YT
